,Document
achademe,['0.txt']
achademes,['0.txt']
achadems,['0.txt']
ache,"['0.txt', '2.txt']"
acheron,['0.txt']
aches,"['0.txt', '1.txt']"
achieve,['1.txt']
achieved,"['1.txt', '2.txt']"
achievement,"['1.txt', '2.txt']"
achievements,"['1.txt', '2.txt']"
achilles,['0.txt']
aching,['2.txt']
achitophel,"['0.txt', '1.txt']"
acid,"['1.txt', '2.txt']"
acidbottle,['2.txt']
acidin,['2.txt']
ackin,['2.txt']
acking,['2.txt']
acknowledgd,['0.txt']
acknowledge,"['0.txt', '1.txt', '2.txt']"
acknowledged,"['0.txt', '1.txt', '2.txt']"
acknowledgement,['0.txt']
acknowledges,['1.txt']
acknowledging,['1.txt']
acknowne,['0.txt']
acleanin,['2.txt']
acoalin,['2.txt']
acomin,['2.txt']
aconitum,['0.txt']
acordo,['0.txt']
acornd,['0.txt']
acorne,['0.txt']
acquaint,"['0.txt', '1.txt']"
acquaintance,"['0.txt', '1.txt', '2.txt']"
acquaintances,['2.txt']
acquainted,"['0.txt', '1.txt', '2.txt']"
acquaints,['0.txt']
acquiesce,['1.txt']
acquiesced,['1.txt']
acquiescence,['1.txt']
acquird,['0.txt']
acquire,"['0.txt', '1.txt', '2.txt']"
acquired,"['1.txt', '2.txt']"
acquirement,['1.txt']
acquirements,['1.txt']
acquires,['2.txt']
acquiring,['1.txt']
acquisition,"['0.txt', '1.txt']"
acquisitions,['1.txt']
acquit,"['0.txt', '1.txt']"
acquits,['2.txt']
acquittal,['1.txt']
acquittance,['0.txt']
acquittances,['0.txt']
acquitted,"['0.txt', '1.txt']"
acre,['0.txt']
acres,"['0.txt', '1.txt', '2.txt']"
acrid,['2.txt']
acrimonious,['1.txt']
acrimony,['1.txt']
across,"['0.txt', '1.txt', '2.txt']"
acrosse,['0.txt']
acrost,['2.txt']
act,"['0.txt', '1.txt', '2.txt']"
actaeon,['2.txt']
acte,['0.txt']
acted,"['0.txt', '1.txt', '2.txt']"
acteon,['0.txt']
acteons,['0.txt']
actes,['0.txt']
acting,"['0.txt', '1.txt', '2.txt']"
action,"['0.txt', '1.txt', '2.txt']"
actions,"['0.txt', '1.txt', '2.txt']"
actiontaking,['0.txt']
actiue,['0.txt']
actiuely,['0.txt']
actiuitie,['0.txt']
